Date : 2024-10-20 17:03:15
Directory : e:\C&C++\project
Total : 397 files,  394373 codes, 90175 comments, 31843 blanks, all 516391 lines

Languages
+------------------+------------+------------+------------+------------+------------+
| language         | files      | code       | comment    | blank      | total      |
| e:\C&C++\project\stm32\Drivers\STM32F1xx_HAL_Driver\Inc\stm32f1xx_ll_rcc.h                          | C++              |        780 |      1,331 |        202 |      2,313 |
| e:\C&C++\project\stm32\Drivers\STM32F1xx_HAL_Driver\Inc\stm32f1xx_ll_rtc.h                          | C++              |        295 |        595 |        114 |      1,004 |
| e:\C&C++\project\stm32\Drivers\STM32F1xx_HAL_Driver\Inc\stm32f1xx_ll_sdmmc.h                        | C++              |        423 |        548 |        142 |      1,113 |
| e:\C&C++\project\stm32\Drivers\STM32F1xx_HAL_Driver\Inc\stm32f1xx_ll_spi.h                          | C++              |        562 |      1,158 |        219 |      1,939 |
| e:\C&C++\project\stm32\Drivers\STM32F1xx_HAL_Driver\Inc\stm32f1xx_ll_system.h                       | C++              |        168 |        351 |         56 |        575 |
| e:\C&C++\project\stm32\Drivers\STM32F1xx_HAL_Driver\Inc\stm32f1xx_ll_tim.h                          | C++              |      1,129 |      2,378 |        326 |      3,833 |
| e:\C&C++\project\stm32\Drivers\STM32F1xx_HAL_Driver\Inc\stm32f1xx_ll_usart.h                        | C++              |        729 |      1,617 |        224 |      2,570 |
| e:\C&C++\project\stm32\Drivers\STM32F1xx_HAL_Driver\Inc\stm32f1xx_ll_usb.h                          | C++              |        312 |        223 |        128 |        663 |
| e:\C&C++\project\stm32\Drivers\STM32F1xx_HAL_Driver\Inc\stm32f1xx_ll_utils.h                        | C++              |         59 |        167 |         44 |        270 |
| e:\C&C++\project\stm32\Drivers\STM32F1xx_HAL_Driver\Inc\stm32f1xx_ll_wwdg.h                         | C++              |         67 |        216 |         37 |        320 |
| e:\C&C++\project\stm32\Drivers\STM32F1xx_HAL_Driver\Src\Legacy\stm32f1xx_hal_can.c                  | C                |        939 |        592 |        183 |      1,714 |
| e:\C&C++\project\stm32\Drivers\STM32F1xx_HAL_Driver\Src\stm32f1xx_hal.c                             | C                |        167 |        376 |         64 |        607 |
| e:\C&C++\project\stm32\Drivers\STM32F1xx_HAL_Driver\Src\stm32f1xx_hal_adc.c                         | C                |        920 |      1,196 |        302 |      2,418 |
| e:\C&C++\project\stm32\Drivers\STM32F1xx_HAL_Driver\Src\stm32f1xx_hal_adc_ex.c                      | C                |        561 |        580 |        183 |      1,324 |
| e:\C&C++\project\stm32\Drivers\STM32F1xx_HAL_Driver\Src\stm32f1xx_hal_can.c                         | C                |      1,125 |      1,016 |        296 |      2,437 |
| e:\C&C++\project\stm32\Drivers\STM32F1xx_HAL_Driver\Src\stm32f1xx_hal_cec.c                         | C                |        423 |        461 |        122 |      1,006 |
| e:\C&C++\project\stm32\Drivers\STM32F1xx_HAL_Driver\Src\stm32f1xx_hal_cortex.c                      | C                |        129 |        326 |         51 |        506 |
| e:\C&C++\project\stm32\Drivers\STM32F1xx_HAL_Driver\Src\stm32f1xx_hal_crc.c                         | C                |         76 |        205 |         50 |        331 |
| e:\C&C++\project\stm32\Drivers\STM32F1xx_HAL_Driver\Src\stm32f1xx_hal_dac.c                         | C                |        504 |        726 |        138 |      1,368 |
| e:\C&C++\project\stm32\Drivers\STM32F1xx_HAL_Driver\Src\stm32f1xx_hal_dac_ex.c                      | C                |        100 |        260 |         61 |        421 |
| e:\C&C++\project\stm32\Drivers\STM32F1xx_HAL_Driver\Src\stm32f1xx_hal_dma.c                         | C                |        370 |        395 |        135 |        900 |
| e:\C&C++\project\stm32\Drivers\STM32F1xx_HAL_Driver\Src\stm32f1xx_hal_eth.c                         | C                |      1,018 |        932 |        343 |      2,293 |
| e:\C&C++\project\stm32\Drivers\STM32F1xx_HAL_Driver\Src\stm32f1xx_hal_exti.c                        | C                |        221 |        262 |         77 |        560 |
| e:\C&C++\project\stm32\Drivers\STM32F1xx_HAL_Driver\Src\stm32f1xx_hal_flash.c                       | C                |        448 |        402 |        118 |        968 |
| e:\C&C++\project\stm32\Drivers\STM32F1xx_HAL_Driver\Src\stm32f1xx_hal_flash_ex.c                    | C                |        527 |        437 |        164 |      1,128 |
| e:\C&C++\project\stm32\Drivers\STM32F1xx_HAL_Driver\Src\stm32f1xx_hal_gpio.c                        | C                |        230 |        292 |         66 |        588 |
| e:\C&C++\project\stm32\Drivers\STM32F1xx_HAL_Driver\Src\stm32f1xx_hal_gpio_ex.c                     | C                |         17 |         94 |         17 |        128 |
| e:\C&C++\project\stm32\Drivers\STM32F1xx_HAL_Driver\Src\stm32f1xx_hal_hcd.c                         | C                |        935 |        531 |        189 |      1,655 |
| e:\C&C++\project\stm32\Drivers\STM32F1xx_HAL_Driver\Src\stm32f1xx_hal_i2c.c                         | C                |      3,902 |      2,409 |      1,130 |      7,441 |
| e:\C&C++\project\stm32\Drivers\STM32F1xx_HAL_Driver\Src\stm32f1xx_hal_i2s.c                         | C                |        860 |        782 |        238 |      1,880 |
| e:\C&C++\project\stm32\Drivers\STM32F1xx_HAL_Driver\Src\stm32f1xx_hal_irda.c                        | C                |      1,192 |      1,126 |        341 |      2,659 |
| e:\C&C++\project\stm32\Drivers\STM32F1xx_HAL_Driver\Src\stm32f1xx_hal_iwdg.c                        | C                |         34 |        196 |         29 |        259 |
| e:\C&C++\project\stm32\Drivers\STM32F1xx_HAL_Driver\Src\stm32f1xx_hal_mmc.c                         | C                |      1,629 |        875 |        355 |      2,859 |
| e:\C&C++\project\stm32\Drivers\STM32F1xx_HAL_Driver\Src\stm32f1xx_hal_msp_template.c                | C                |         13 |         63 |         18 |         94 |
| e:\C&C++\project\stm32\Drivers\STM32F1xx_HAL_Driver\Src\stm32f1xx_hal_nand.c                        | C                |      1,371 |        649 |        286 |      2,306 |
| e:\C&C++\project\stm32\Drivers\STM32F1xx_HAL_Driver\Src\stm32f1xx_hal_nor.c                         | C                |        827 |        504 |        179 |      1,510 |
| e:\C&C++\project\stm32\Drivers\STM32F1xx_HAL_Driver\Src\stm32f1xx_hal_pccard.c                      | C                |        403 |        412 |        134 |        949 |
| e:\C&C++\project\stm32\Drivers\STM32F1xx_HAL_Driver\Src\stm32f1xx_hal_pcd.c                         | C                |      1,460 |        718 |        387 |      2,565 |
| e:\C&C++\project\stm32\Drivers\STM32F1xx_HAL_Driver\Src\stm32f1xx_hal_pcd_ex.c                      | C                |         74 |        142 |         29 |        245 |
| e:\C&C++\project\stm32\Drivers\STM32F1xx_HAL_Driver\Src\stm32f1xx_hal_pwr.c                         | C                |        154 |        399 |         69 |        622 |
| e:\C&C++\project\stm32\Drivers\STM32F1xx_HAL_Driver\Src\stm32f1xx_hal_rcc.c                         | C                |        687 |        554 |        163 |      1,404 |
| e:\C&C++\project\stm32\Drivers\STM32F1xx_HAL_Driver\Src\stm32f1xx_hal_rcc_ex.c                      | C                |        432 |        326 |        106 |        864 |
| e:\C&C++\project\stm32\Drivers\STM32F1xx_HAL_Driver\Src\stm32f1xx_hal_rtc.c                         | C                |        897 |        774 |        279 |      1,950 |
| e:\C&C++\project\stm32\Drivers\STM32F1xx_HAL_Driver\Src\stm32f1xx_hal_rtc_ex.c                      | C                |        197 |        279 |        104 |        580 |
| e:\C&C++\project\stm32\Drivers\STM32F1xx_HAL_Driver\Src\stm32f1xx_hal_sd.c                          | C                |      1,907 |        932 |        405 |      3,244 |
| e:\C&C++\project\stm32\Drivers\STM32F1xx_HAL_Driver\Src\stm32f1xx_hal_smartcard.c                   | C                |      1,006 |      1,031 |        316 |      2,353 |
| e:\C&C++\project\stm32\Drivers\STM32F1xx_HAL_Driver\Src\stm32f1xx_hal_spi.c                         | C                |      2,208 |      1,284 |        469 |      3,961 |
| e:\C&C++\project\stm32\Drivers\STM32F1xx_HAL_Driver\Src\stm32f1xx_hal_sram.c                        | C                |        471 |        508 |        146 |      1,125 |
| e:\C&C++\project\stm32\Drivers\STM32F1xx_HAL_Driver\Src\stm32f1xx_hal_tim.c                         | C                |      3,815 |      2,591 |      1,016 |      7,422 |
| e:\C&C++\project\stm32\Drivers\STM32F1xx_HAL_Driver\Src\stm32f1xx_hal_tim_ex.c                      | C                |      1,006 |        947 |        344 |      2,297 |
| e:\C&C++\project\stm32\Drivers\STM32F1xx_HAL_Driver\Src\stm32f1xx_hal_timebase_rtc_alarm_template.c | C                |        132 |        138 |         39 |        309 |
| e:\C&C++\project\stm32\Drivers\STM32F1xx_HAL_Driver\Src\stm32f1xx_hal_timebase_tim_template.c       | C                |         64 |         93 |         23 |        180 |
| e:\C&C++\project\stm32\Drivers\STM32F1xx_HAL_Driver\Src\stm32f1xx_hal_uart.c                        | C                |      1,408 |      1,300 |        426 |      3,134 |
| e:\C&C++\project\stm32\Drivers\STM32F1xx_HAL_Driver\Src\stm32f1xx_hal_usart.c                       | C                |      1,351 |      1,114 |        334 |      2,799 |
| e:\C&C++\project\stm32\Drivers\STM32F1xx_HAL_Driver\Src\stm32f1xx_hal_wwdg.c                        | C                |        103 |        276 |         44 |        423 |
| e:\C&C++\project\stm32\Drivers\STM32F1xx_HAL_Driver\Src\stm32f1xx_ll_adc.c                          | C                |        467 |        338 |         87 |        892 |
| e:\C&C++\project\stm32\Drivers\STM32F1xx_HAL_Driver\Src\stm32f1xx_ll_crc.c                          | C                |         26 |         60 |         23 |        109 |
| e:\C&C++\project\stm32\Drivers\STM32F1xx_HAL_Driver\Src\stm32f1xx_ll_dac.c                          | C                |        133 |        110 |         32 |        275 |
| e:\C&C++\project\stm32\Drivers\STM32F1xx_HAL_Driver\Src\stm32f1xx_ll_dma.c                          | C                |        137 |        135 |         43 |        315 |
| e:\C&C++\project\stm32\Drivers\STM32F1xx_HAL_Driver\Src\stm32f1xx_ll_exti.c                         | C                |         94 |         94 |         28 |        216 |
| e:\C&C++\project\stm32\Drivers\STM32F1xx_HAL_Driver\Src\stm32f1xx_ll_fsmc.c                         | C                |        433 |        459 |        113 |      1,005 |
| e:\C&C++\project\stm32\Drivers\STM32F1xx_HAL_Driver\Src\stm32f1xx_ll_gpio.c                         | C                |        121 |         93 |         40 |        254 |
| e:\C&C++\project\stm32\Drivers\STM32F1xx_HAL_Driver\Src\stm32f1xx_ll_i2c.c                          | C                |         74 |        107 |         41 |        222 |
| e:\C&C++\project\stm32\Drivers\STM32F1xx_HAL_Driver\Src\stm32f1xx_ll_pwr.c                          | C                |         12 |         58 |         17 |         87 |
| e:\C&C++\project\stm32\Drivers\STM32F1xx_HAL_Driver\Src\stm32f1xx_ll_rcc.c                          | C                |        201 |        199 |         75 |        475 |
| e:\C&C++\project\stm32\Drivers\STM32F1xx_HAL_Driver\Src\stm32f1xx_ll_rtc.c                          | C                |        263 |        215 |         67 |        545 |
| e:\C&C++\project\stm32\Drivers\STM32F1xx_HAL_Driver\Src\stm32f1xx_ll_sdmmc.c                        | C                |        700 |        613 |        209 |      1,522 |
| e:\C&C++\project\stm32\Drivers\STM32F1xx_HAL_Driver\Src\stm32f1xx_ll_spi.c                          | C                |        225 |        222 |         84 |        531 |
| e:\C&C++\project\stm32\Drivers\STM32F1xx_HAL_Driver\Src\stm32f1xx_ll_tim.c                          | C                |        624 |        377 |        198 |      1,199 |
| e:\C&C++\project\stm32\Drivers\STM32F1xx_HAL_Driver\Src\stm32f1xx_ll_usart.c                        | C                |        213 |        171 |         63 |        447 |
| e:\C&C++\project\stm32\Drivers\STM32F1xx_HAL_Driver\Src\stm32f1xx_ll_usb.c                          | C                |      1,516 |        800 |        358 |      2,674 |
| e:\C&C++\project\stm32\Drivers\STM32F1xx_HAL_Driver\Src\stm32f1xx_ll_utils.c                        | C                |        304 |        251 |         70 |        625 |
| e:\C&C++\project\stm32\Drivers\SYSTEM\delay\delay.c                                                 | C                |        100 |         68 |         60 |        228 |
| e:\C&C++\project\stm32\Drivers\SYSTEM\delay\delay.h                                                 | C++              |         10 |         24 |         36 |         70 |
| e:\C&C++\project\stm32\Drivers\SYSTEM\sys\sys.c                                                     | C                |         57 |         68 |         17 |        142 |
| e:\C&C++\project\stm32\Drivers\SYSTEM\sys\sys.h                                                     | C++              |         14 |         30 |         21 |         65 |
| e:\C&C++\project\stm32\Drivers\SYSTEM\usart\usart.c                                                 | C                |        113 |         68 |         31 |        212 |
| e:\C&C++\project\stm32\Drivers\SYSTEM\usart\usart.h                                                 | C++              |         23 |         29 |         16 |         68 |
| e:\C&C++\project\stm32\Middlewares\FreeRTOS\croutine.c                                              | C                |        184 |        121 |         59 |        364 |
| e:\C&C++\project\stm32\Middlewares\FreeRTOS\event_groups.c                                          | C                |        478 |        182 |        118 |        778 |
| e:\C&C++\project\stm32\Middlewares\FreeRTOS\include\FreeRTOS.h                                      | C++              |        823 |        277 |        263 |      1,363 |
| e:\C&C++\project\stm32\Middlewares\FreeRTOS\include\StackMacros.h                                   | C++              |          4 |         27 |          4 |         35 |
| e:\C&C++\project\stm32\Middlewares\FreeRTOS\include\atomic.h                                        | C++              |        169 |        198 |         53 |        420 |
| e:\C&C++\project\stm32\Middlewares\FreeRTOS\include\croutine.h                                      | C++              |         80 |        650 |         24 |        754 |
| e:\C&C++\project\stm32\Middlewares\FreeRTOS\include\deprecated_definitions.h                        | C++              |        180 |         39 |         63 |        282 |
| e:\C&C++\project\stm32\Middlewares\FreeRTOS\include\event_groups.h                                  | C++              |         62 |        689 |         27 |        778 |
| e:\C&C++\project\stm32\Middlewares\FreeRTOS\include\list.h                                          | C++              |        135 |        327 |         38 |        500 |
| e:\C&C++\project\stm32\Middlewares\FreeRTOS\include\message_buffer.h                                | C++              |         44 |        753 |         27 |        824 |
| e:\C&C++\project\stm32\Middlewares\FreeRTOS\include\mpu_prototypes.h                                | C++              |        210 |         39 |         12 |        261 |
| e:\C&C++\project\stm32\Middlewares\FreeRTOS\include\mpu_wrappers.h                                  | C++              |        135 |         59 |         24 |        218 |
| e:\C&C++\project\stm32\Middlewares\FreeRTOS\include\portable.h                                      | C++              |        107 |         92 |         25 |        224 |
| e:\C&C++\project\stm32\Middlewares\FreeRTOS\include\projdefs.h                                      | C++              |         68 |         41 |         14 |        123 |
| e:\C&C++\project\stm32\Middlewares\FreeRTOS\include\queue.h                                         | C++              |        142 |      1,530 |         51 |      1,723 |
| e:\C&C++\project\stm32\Middlewares\FreeRTOS\include\semphr.h                                        | C++              |         60 |      1,101 |         29 |      1,190 |
| e:\C&C++\project\stm32\Middlewares\FreeRTOS\include\stack_macros.h                                  | C++              |         65 |         52 |         21 |        138 |
| e:\C&C++\project\stm32\Middlewares\FreeRTOS\include\stream_buffer.h                                 | C++              |         60 |        782 |         28 |        870 |
| e:\C&C++\project\stm32\Middlewares\FreeRTOS\include\task.h                                          | C++              |        291 |      2,705 |        117 |      3,113 |
| e:\C&C++\project\stm32\Middlewares\FreeRTOS\include\timers.h                                        | C++              |         99 |      1,215 |         42 |      1,356 |
| e:\C&C++\project\stm32\Middlewares\FreeRTOS\list.c                                                  | C                |         77 |        105 |         34 |        216 |
| e:\C&C++\project\stm32\Middlewares\FreeRTOS\portable\MemMang\heap_1.c                               | C                |         74 |         57 |         23 |        154 |
| e:\C&C++\project\stm32\Middlewares\FreeRTOS\portable\MemMang\heap_2.c                               | C                |        148 |         94 |         45 |        287 |
| e:\C&C++\project\stm32\Middlewares\FreeRTOS\portable\MemMang\heap_3.c                               | C                |         40 |         42 |         14 |         96 |
| e:\C&C++\project\stm32\Middlewares\FreeRTOS\portable\MemMang\heap_4.c                               | C                |        297 |        138 |         70 |        505 |
| e:\C&C++\project\stm32\Middlewares\FreeRTOS\portable\MemMang\heap_5.c                               | C                |        306 |        178 |         76 |        560 |
| e:\C&C++\project\stm32\Middlewares\FreeRTOS\portable\RVDS\ARM7_LPC21xx\port.c                       | C                |        128 |        113 |         52 |        293 |
| e:\C&C++\project\stm32\Middlewares\FreeRTOS\portable\RVDS\ARM7_LPC21xx\portASM.s                    | ARM              |         69 |         26 |         31 |        126 |
| e:\C&C++\project\stm32\Middlewares\FreeRTOS\portable\RVDS\ARM7_LPC21xx\portmacro.h                  | C++              |         51 |         74 |         27 |        152 |
| e:\C&C++\project\stm32\Middlewares\FreeRTOS\portable\RVDS\ARM_CA9\port.c                            | C                |        241 |        169 |         72 |        482 |
| e:\C&C++\project\stm32\Middlewares\FreeRTOS\portable\RVDS\ARM_CA9\portASM.s                         | ARM              |        115 |         26 |         35 |        176 |
| e:\C&C++\project\stm32\Middlewares\FreeRTOS\portable\RVDS\ARM_CA9\portmacro.h                       | C++              |         71 |         60 |         34 |        165 |
| e:\C&C++\project\stm32\Middlewares\FreeRTOS\portable\RVDS\ARM_CM0\port.c                            | C                |        264 |        197 |         89 |        550 |
| e:\C&C++\project\stm32\Middlewares\FreeRTOS\portable\RVDS\ARM_CM0\portmacro.h                       | C++              |         53 |         53 |         20 |        126 |
| e:\C&C++\project\stm32\Middlewares\FreeRTOS\portable\RVDS\ARM_CM3\port.c                            | C                |        323 |        283 |        113 |        719 |
| e:\C&C++\project\stm32\Middlewares\FreeRTOS\portable\RVDS\ARM_CM3\portmacro.h                       | C++              |        132 |         90 |         45 |        267 |
| e:\C&C++\project\stm32\Middlewares\FreeRTOS\portable\RVDS\ARM_CM4F\port.c                           | C                |        360 |        320 |        131 |        811 |
| e:\C&C++\project\stm32\Middlewares\FreeRTOS\portable\RVDS\ARM_CM4F\portmacro.h                      | C++              |        132 |         90 |         44 |        266 |
| e:\C&C++\project\stm32\Middlewares\FreeRTOS\portable\RVDS\ARM_CM4_MPU\port.c                        | C                |        563 |        282 |        153 |        998 |
| e:\C&C++\project\stm32\Middlewares\FreeRTOS\portable\RVDS\ARM_CM4_MPU\portmacro.h                   | C++              |        181 |        175 |         60 |        416 |
| e:\C&C++\project\stm32\Middlewares\FreeRTOS\portable\RVDS\ARM_CM7\r0p1\port.c                       | C                |        356 |        313 |        128 |        797 |
| e:\C&C++\project\stm32\Middlewares\FreeRTOS\portable\RVDS\ARM_CM7\r0p1\portmacro.h                  | C++              |        136 |         90 |         44 |        270 |
| e:\C&C++\project\stm32\Middlewares\FreeRTOS\queue.c                                                 | C                |      2,021 |        655 |        400 |      3,076 |
| e:\C&C++\project\stm32\Middlewares\FreeRTOS\stream_buffer.c                                         | C                |        854 |        275 |        179 |      1,308 |
| e:\C&C++\project\stm32\Middlewares\FreeRTOS\tasks.c                                                 | C                |      3,280 |      1,366 |        797 |      5,443 |
| e:\C&C++\project\stm32\Middlewares\FreeRTOS\timers.c                                                | C                |        673 |        280 |        167 |      1,120 |
| e:\C&C++\project\stm32\Middlewares\MALLOC\malloc.c                                                  | C                |        152 |         70 |         57 |        279 |
| e:\C&C++\project\stm32\Middlewares\MALLOC\malloc.h                                                  | C++              |         33 |         39 |         34 |        106 |
| e:\C&C++\project\stm32\Output\atk_f103.hex                                                          | hex              |      3,220 |          0 |          1 |      3,221 |
| e:\C&C++\project\stm32\User\FreeRTOSConfig.h                                                        | C++              |         88 |         20 |         17 |        125 |
| e:\C&C++\project\stm32\User\freertos_demo.c                                                         | C                |        180 |         38 |         38 |        256 |
| e:\C&C++\project\stm32\User\freertos_demo.h                                                         | C++              |          4 |         19 |          4 |         27 |
| e:\C&C++\project\stm32\User\main.c                                                                  | C                |         30 |          0 |          4 |         34 |
| e:\C&C++\project\stm32\User\stm32f1xx_hal_conf.h                                                    | C++              |        237 |         90 |         73 |        400 |
| e:\C&C++\project\stm32\User\stm32f1xx_it.c                                                          | C                |         49 |        106 |         22 |        177 |
| e:\C&C++\project\stm32\User\stm32f1xx_it.h                                                          | C++              |         18 |         25 |          8 |         51 |
| e:\C&C++\project\stm32\keilkill.bat                                                                 | Batch            |         27 |          1 |          3 |         31 |
| e:\C&C++\project\yolov5\.github\ISSUE_TEMPLATE\bug-report.yml                                       | YAML             |         76 |          3 |          9 |         88 |
| e:\C&C++\project\yolov5\.github\ISSUE_TEMPLATE\config.yml                                           | YAML             |         11 |          1 |          2 |         14 |
| e:\C&C++\project\yolov5\.github\ISSUE_TEMPLATE\feature-request.yml                                  | YAML             |         44 |          2 |          7 |         53 |
| e:\C&C++\project\yolov5\.github\ISSUE_TEMPLATE\question.yml                                         | YAML             |         29 |          2 |          5 |         36 |
| e:\C&C++\project\yolov5\.github\dependabot.yml                                                      | YAML             |         22 |          3 |          3 |         28 |
| e:\C&C++\project\yolov5\.github\workflows\ci-testing.yml                                            | YAML             |        141 |          4 |          6 |        151 |
| e:\C&C++\project\yolov5\.github\workflows\cla.yml                                                   | YAML             |         35 |          5 |          5 |         45 |
| e:\C&C++\project\yolov5\.github\workflows\codeql-analysis.yml                                       | YAML             |         24 |         21 |         12 |         57 |
| e:\C&C++\project\yolov5\.github\workflows\docker.yml                                                | YAML             |         49 |          2 |         10 |         61 |
| e:\C&C++\project\yolov5\.github\workflows\format.yml                                                | YAML             |         46 |          7 |         18 |         71 |
| e:\C&C++\project\yolov5\.github\workflows\links.yml                                                 | YAML             |         59 |          8 |          7 |         74 |
| e:\C&C++\project\yolov5\.github\workflows\merge-main-into-prs.yml                                   | YAML             |         51 |         10 |         11 |         72 |
| e:\C&C++\project\yolov5\.github\workflows\stale.yml                                                 | YAML             |         33 |          1 |         14 |         48 |
| e:\C&C++\project\yolov5\CITATION.cff                                                                | YAML             |         14 |          0 |          1 |         15 |
| e:\C&C++\project\yolov5\CONTRIBUTING.md                                                             | Markdown         |         42 |          0 |         35 |         77 |
| e:\C&C++\project\yolov5\README.md                                                                   | Markdown         |        347 |          0 |        122 |        469 |
| e:\C&C++\project\yolov5\README.zh-CN.md                                                             | Markdown         |        348 |          0 |        121 |        469 |
| e:\C&C++\project\yolov5\benchmarks.py                                                               | Python           |        247 |          7 |         41 |        295 |
| e:\C&C++\project\yolov5\classify\predict.py                                                         | Python           |        197 |         14 |         31 |        242 |
| e:\C&C++\project\yolov5\classify\train.py                                                           | Python           |        299 |         33 |         51 |        383 |
| e:\C&C++\project\yolov5\classify\tutorial.ipynb                                                     | JSON             |      1,488 |          0 |          1 |      1,489 |
| e:\C&C++\project\yolov5\classify\val.py                                                             | Python           |        148 |          6 |         25 |        179 |
| e:\C&C++\project\yolov5\data\Argoverse.yaml                                                         | YAML             |         47 |         12 |         14 |         73 |
| e:\C&C++\project\yolov5\data\GlobalWheat2020.yaml                                                   | YAML             |         32 |         13 |          8 |         53 |
| e:\C&C++\project\yolov5\data\ImageNet.yaml                                                          | YAML             |      1,006 |         11 |          4 |      1,021 |
| e:\C&C++\project\yolov5\data\ImageNet10.yaml                                                        | YAML             |         16 |         11 |          4 |         31 |
| e:\C&C++\project\yolov5\data\ImageNet100.yaml                                                       | YAML             |        106 |         11 |          3 |        120 |
| e:\C&C++\project\yolov5\data\ImageNet1000.yaml                                                      | YAML             |      1,006 |         11 |          4 |      1,021 |
| e:\C&C++\project\yolov5\data\Objects365.yaml                                                        | YAML             |        411 |         15 |         11 |        437 |
| e:\C&C++\project\yolov5\data\SKU-110K.yaml                                                          | YAML             |         31 |         13 |          8 |         52 |
| e:\C&C++\project\yolov5\data\VOC.yaml                                                               | YAML             |         74 |         12 |         13 |         99 |
| e:\C&C++\project\yolov5\data\VisDrone.yaml                                                          | YAML             |         46 |         13 |         10 |         69 |
| e:\C&C++\project\yolov5\data\coco.yaml                                                              | YAML             |         96 |         12 |          7 |        115 |
| e:\C&C++\project\yolov5\data\coco128-seg.yaml                                                       | YAML             |         86 |         10 |          4 |        100 |
| e:\C&C++\project\yolov5\data\coco128.yaml                                                           | YAML             |         86 |         10 |          4 |        100 |
| e:\C&C++\project\yolov5\data\hyps\hyp.Objects365.yaml                                               | YAML             |         29 |          4 |          2 |         35 |
| e:\C&C++\project\yolov5\data\hyps\hyp.VOC.yaml                                                      | YAML             |         29 |          9 |          3 |         41 |
| e:\C&C++\project\yolov5\data\hyps\hyp.no-augmentation.yaml                                          | YAML             |         28 |          6 |          2 |         36 |
| e:\C&C++\project\yolov5\data\hyps\hyp.scratch-high.yaml                                             | YAML             |         28 |          5 |          2 |         35 |
| e:\C&C++\project\yolov5\data\hyps\hyp.scratch-low.yaml                                              | YAML             |         28 |          5 |          2 |         35 |
| e:\C&C++\project\yolov5\data\hyps\hyp.scratch-med.yaml                                              | YAML             |         28 |          5 |          2 |         35 |
| e:\C&C++\project\yolov5\data\scripts\download_weights.sh                                            | Shell Script     |          9 |          9 |          5 |         23 |
| e:\C&C++\project\yolov5\data\scripts\get_coco.sh                                                    | Shell Script     |         42 |         11 |          4 |         57 |
| e:\C&C++\project\yolov5\data\scripts\get_coco128.sh                                                 | Shell Script     |          6 |          9 |          3 |         18 |
| e:\C&C++\project\yolov5\data\scripts\get_imagenet.sh                                                | Shell Script     |         29 |         16 |          7 |         52 |
| e:\C&C++\project\yolov5\data\scripts\get_imagenet10.sh                                              | Shell Script     |         15 |         11 |          4 |         30 |
| e:\C&C++\project\yolov5\data\scripts\get_imagenet100.sh                                             | Shell Script     |         15 |         11 |          4 |         30 |
| e:\C&C++\project\yolov5\data\scripts\get_imagenet1000.sh                                            | Shell Script     |         15 |         11 |          4 |         30 |
| e:\C&C++\project\yolov5\data\xView.yaml                                                             | YAML             |        112 |         23 |         17 |        152 |
| e:\C&C++\project\yolov5\detect.py                                                                   | Python           |        369 |         21 |         48 |        438 |
| e:\C&C++\project\yolov5\export.py                                                                   | Python           |      1,258 |         50 |        223 |      1,531 |
| e:\C&C++\project\yolov5\hubconf.py                                                                  | Python           |        390 |         19 |        102 |        511 |
| e:\C&C++\project\yolov5\models\__init__.py                                                          | Python           |          0 |          0 |          1 |          1 |
| e:\C&C++\project\yolov5\models\common.py                                                            | Python           |        915 |         31 |        164 |      1,110 |
| e:\C&C++\project\yolov5\models\experimental.py                                                      | Python           |         98 |          7 |         26 |        131 |
| e:\C&C++\project\yolov5\models\hub\anchors.yaml                                                     | YAML             |         37 |         12 |          8 |         57 |
| e:\C&C++\project\yolov5\models\hub\yolov3-spp.yaml                                                  | YAML             |         41 |          5 |          7 |         53 |
| e:\C&C++\project\yolov5\models\hub\yolov3-tiny.yaml                                                 | YAML             |         32 |          5 |          6 |         43 |
| e:\C&C++\project\yolov5\models\hub\yolov3.yaml                                                      | YAML             |         41 |          5 |          7 |         53 |
| e:\C&C++\project\yolov5\models\hub\yolov5-bifpn.yaml                                                | YAML             |         37 |          5 |          8 |         50 |
| e:\C&C++\project\yolov5\models\hub\yolov5-fpn.yaml                                                  | YAML             |         32 |          5 |          7 |         44 |
| e:\C&C++\project\yolov5\models\hub\yolov5-p2.yaml                                                   | YAML             |         41 |          5 |         10 |         56 |
| e:\C&C++\project\yolov5\models\hub\yolov5-p34.yaml                                                  | YAML             |         31 |          5 |          7 |         43 |
| e:\C&C++\project\yolov5\models\hub\yolov5-p6.yaml                                                   | YAML             |         43 |          5 |         10 |         58 |
| e:\C&C++\project\yolov5\models\hub\yolov5-p7.yaml                                                   | YAML             |         52 |          5 |         12 |         69 |
| e:\C&C++\project\yolov5\models\hub\yolov5-panet.yaml                                                | YAML             |         37 |          5 |          8 |         50 |
| e:\C&C++\project\yolov5\models\hub\yolov5l6.yaml                                                    | YAML             |         47 |          5 |         10 |         62 |
| e:\C&C++\project\yolov5\models\hub\yolov5m6.yaml                                                    | YAML             |         47 |          5 |         10 |         62 |
| e:\C&C++\project\yolov5\models\hub\yolov5n6.yaml                                                    | YAML             |         47 |          5 |         10 |         62 |
| e:\C&C++\project\yolov5\models\hub\yolov5s-LeakyReLU.yaml                                           | YAML             |         38 |          5 |          8 |         51 |
| e:\C&C++\project\yolov5\models\hub\yolov5s-ghost.yaml                                               | YAML             |         37 |          5 |          8 |         50 |
| e:\C&C++\project\yolov5\models\hub\yolov5s-transformer.yaml                                         | YAML             |         37 |          5 |          8 |         50 |
